Epoch: 1, LR => 0.001000, Loss => 10.8873, Accuracy => 9.06%
Epoch: 2, LR => 0.000999, Loss => 9.3975, Accuracy => 17.77%
Epoch: 3, LR => 0.000996, Loss => 8.5991, Accuracy => 22.78%
Epoch: 4, LR => 0.000991, Loss => 7.9993, Accuracy => 27.13%
Epoch: 5, LR => 0.000984, Loss => 7.4427, Accuracy => 31.12%
Epoch: 6, LR => 0.000976, Loss => 6.8967, Accuracy => 35.12%
Epoch: 7, LR => 0.000965, Loss => 6.4110, Accuracy => 39.13%
Epoch: 8, LR => 0.000952, Loss => 5.9417, Accuracy => 42.81%
Epoch: 9, LR => 0.000938, Loss => 5.4565, Accuracy => 46.79%
Epoch: 10, LR => 0.000922, Loss => 4.9453, Accuracy => 51.21%
Epoch: 11, LR => 0.000905, Loss => 4.4695, Accuracy => 55.55%
Epoch: 12, LR => 0.000885, Loss => 3.9758, Accuracy => 60.60%
Epoch: 13, LR => 0.000864, Loss => 3.4128, Accuracy => 66.55%
Epoch: 14, LR => 0.000842, Loss => 2.9072, Accuracy => 72.17%
Epoch: 15, LR => 0.000819, Loss => 2.4180, Accuracy => 78.23%
Epoch: 16, LR => 0.000794, Loss => 1.9621, Accuracy => 84.53%
Epoch: 17, LR => 0.000768, Loss => 1.6767, Accuracy => 88.68%
Epoch: 18, LR => 0.000741, Loss => 1.4460, Accuracy => 91.92%
Epoch: 19, LR => 0.000713, Loss => 1.2766, Accuracy => 94.16%
Epoch: 20, LR => 0.000684, Loss => 1.1534, Accuracy => 95.78%
Epoch: 21, LR => 0.000655, Loss => 1.0575, Accuracy => 96.69%
Epoch: 22, LR => 0.000624, Loss => 0.9957, Accuracy => 97.28%
Epoch: 23, LR => 0.000594, Loss => 0.9451, Accuracy => 97.71%
Epoch: 24, LR => 0.000563, Loss => 0.9033, Accuracy => 97.91%
Epoch: 25, LR => 0.000531, Loss => 0.8715, Accuracy => 98.11%
Epoch: 26, LR => 0.000500, Loss => 0.8308, Accuracy => 98.38%
Epoch: 27, LR => 0.000469, Loss => 0.7960, Accuracy => 98.50%
Epoch: 28, LR => 0.000437, Loss => 0.7586, Accuracy => 98.76%
Epoch: 29, LR => 0.000406, Loss => 0.7255, Accuracy => 99.00%
Epoch: 30, LR => 0.000376, Loss => 0.6930, Accuracy => 99.15%
Epoch: 31, LR => 0.000345, Loss => 0.6652, Accuracy => 99.26%
Epoch: 32, LR => 0.000316, Loss => 0.6397, Accuracy => 99.33%
Epoch: 33, LR => 0.000287, Loss => 0.6159, Accuracy => 99.42%
Epoch: 34, LR => 0.000259, Loss => 0.5897, Accuracy => 99.57%
Epoch: 35, LR => 0.000232, Loss => 0.5664, Accuracy => 99.68%
Epoch: 36, LR => 0.000206, Loss => 0.5460, Accuracy => 99.73%
Epoch: 37, LR => 0.000181, Loss => 0.5277, Accuracy => 99.79%
Epoch: 38, LR => 0.000158, Loss => 0.5104, Accuracy => 99.83%
Epoch: 39, LR => 0.000136, Loss => 0.4952, Accuracy => 99.85%
Epoch: 40, LR => 0.000115, Loss => 0.4818, Accuracy => 99.88%
Epoch: 41, LR => 0.000095, Loss => 0.4705, Accuracy => 99.91%
Epoch: 42, LR => 0.000078, Loss => 0.4607, Accuracy => 99.90%
Epoch: 43, LR => 0.000062, Loss => 0.4531, Accuracy => 99.92%
Epoch: 44, LR => 0.000048, Loss => 0.4473, Accuracy => 99.92%
Epoch: 45, LR => 0.000035, Loss => 0.4427, Accuracy => 99.93%
Epoch: 46, LR => 0.000024, Loss => 0.4393, Accuracy => 99.94%
Epoch: 47, LR => 0.000016, Loss => 0.4366, Accuracy => 99.94%
Epoch: 48, LR => 0.000009, Loss => 0.4350, Accuracy => 99.93%
Epoch: 49, LR => 0.000004, Loss => 0.4338, Accuracy => 99.94%
Epoch: 50, LR => 0.000001, Loss => 0.4332, Accuracy => 99.94%
