Epoch: 1, LR => 0.001000, Loss => 10.3393, Accuracy => 11.06%
Epoch: 2, LR => 0.000999, Loss => 8.2704, Accuracy => 24.15%
Epoch: 3, LR => 0.000996, Loss => 7.0829, Accuracy => 32.60%
Epoch: 4, LR => 0.000991, Loss => 6.2127, Accuracy => 39.55%
Epoch: 5, LR => 0.000984, Loss => 5.5405, Accuracy => 45.01%
Epoch: 6, LR => 0.000976, Loss => 4.9385, Accuracy => 49.97%
Epoch: 7, LR => 0.000965, Loss => 4.4137, Accuracy => 54.99%
Epoch: 8, LR => 0.000952, Loss => 3.9142, Accuracy => 59.77%
Epoch: 9, LR => 0.000938, Loss => 3.4834, Accuracy => 64.14%
Epoch: 10, LR => 0.000922, Loss => 3.0951, Accuracy => 68.25%
Epoch: 11, LR => 0.000905, Loss => 2.7638, Accuracy => 72.05%
Epoch: 12, LR => 0.000885, Loss => 2.4726, Accuracy => 75.59%
Epoch: 13, LR => 0.000864, Loss => 2.2297, Accuracy => 78.93%
Epoch: 14, LR => 0.000842, Loss => 2.0271, Accuracy => 81.55%
Epoch: 15, LR => 0.000819, Loss => 1.8731, Accuracy => 83.87%
Epoch: 16, LR => 0.000794, Loss => 1.7268, Accuracy => 86.29%
Epoch: 17, LR => 0.000768, Loss => 1.6024, Accuracy => 88.03%
Epoch: 18, LR => 0.000741, Loss => 1.5034, Accuracy => 89.84%
Epoch: 19, LR => 0.000713, Loss => 1.4356, Accuracy => 90.95%
Epoch: 20, LR => 0.000684, Loss => 1.3652, Accuracy => 91.92%
Epoch: 21, LR => 0.000655, Loss => 1.3031, Accuracy => 92.88%
Epoch: 22, LR => 0.000624, Loss => 1.2508, Accuracy => 93.55%
Epoch: 23, LR => 0.000594, Loss => 1.2001, Accuracy => 94.51%
Epoch: 24, LR => 0.000563, Loss => 1.1571, Accuracy => 95.16%
Epoch: 25, LR => 0.000531, Loss => 1.1206, Accuracy => 95.57%
Epoch: 26, LR => 0.000500, Loss => 1.0680, Accuracy => 96.27%
Epoch: 27, LR => 0.000469, Loss => 1.0419, Accuracy => 96.78%
Epoch: 28, LR => 0.000437, Loss => 1.0204, Accuracy => 96.93%
Epoch: 29, LR => 0.000406, Loss => 0.9911, Accuracy => 97.24%
Epoch: 30, LR => 0.000376, Loss => 0.9743, Accuracy => 97.49%
Epoch: 31, LR => 0.000345, Loss => 0.9392, Accuracy => 97.89%
Epoch: 32, LR => 0.000316, Loss => 0.9212, Accuracy => 98.01%
Epoch: 33, LR => 0.000287, Loss => 0.9030, Accuracy => 98.29%
Epoch: 34, LR => 0.000259, Loss => 0.8777, Accuracy => 98.44%
Epoch: 35, LR => 0.000232, Loss => 0.8644, Accuracy => 98.63%
Epoch: 36, LR => 0.000206, Loss => 0.8511, Accuracy => 98.70%
Epoch: 37, LR => 0.000181, Loss => 0.8287, Accuracy => 98.88%
Epoch: 38, LR => 0.000158, Loss => 0.8198, Accuracy => 99.03%
Epoch: 39, LR => 0.000136, Loss => 0.8105, Accuracy => 99.01%
Epoch: 40, LR => 0.000115, Loss => 0.8041, Accuracy => 98.98%
Epoch: 41, LR => 0.000095, Loss => 0.7945, Accuracy => 99.06%
Epoch: 42, LR => 0.000078, Loss => 0.7845, Accuracy => 99.20%
Epoch: 43, LR => 0.000062, Loss => 0.7752, Accuracy => 99.27%
Epoch: 44, LR => 0.000048, Loss => 0.7679, Accuracy => 99.31%
Epoch: 45, LR => 0.000035, Loss => 0.7699, Accuracy => 99.26%
Epoch: 46, LR => 0.000024, Loss => 0.7630, Accuracy => 99.27%
Epoch: 47, LR => 0.000016, Loss => 0.7555, Accuracy => 99.42%
Epoch: 48, LR => 0.000009, Loss => 0.7583, Accuracy => 99.30%
Epoch: 49, LR => 0.000004, Loss => 0.7587, Accuracy => 99.38%
Epoch: 50, LR => 0.000001, Loss => 0.7577, Accuracy => 99.36%
