Epoch: 1, Loss => 1.7841, Accuracy => 58.43%
Epoch: 2, Loss => 0.7698, Accuracy => 78.40%
Epoch: 3, Loss => 0.6331, Accuracy => 81.97%
Epoch: 4, Loss => 0.5549, Accuracy => 83.96%
Epoch: 5, Loss => 0.4946, Accuracy => 85.60%
Epoch: 6, Loss => 0.4518, Accuracy => 86.88%
Epoch: 7, Loss => 0.4165, Accuracy => 87.88%
Epoch: 8, Loss => 0.3862, Accuracy => 88.79%
Epoch: 9, Loss => 0.3624, Accuracy => 89.36%
Epoch: 10, Loss => 0.3403, Accuracy => 90.26%
Epoch: 11, Loss => 0.3213, Accuracy => 90.76%
Epoch: 12, Loss => 0.3042, Accuracy => 91.37%
Epoch: 13, Loss => 0.2874, Accuracy => 91.80%
Epoch: 14, Loss => 0.2754, Accuracy => 92.17%
Epoch: 15, Loss => 0.2620, Accuracy => 92.70%
Epoch: 16, Loss => 0.2514, Accuracy => 93.15%
Epoch: 17, Loss => 0.2400, Accuracy => 93.53%
Epoch: 18, Loss => 0.2320, Accuracy => 93.65%
Epoch: 19, Loss => 0.2214, Accuracy => 94.12%
Epoch: 20, Loss => 0.2121, Accuracy => 94.44%
Epoch: 21, Loss => 0.2058, Accuracy => 94.65%
Epoch: 22, Loss => 0.1982, Accuracy => 94.90%
Epoch: 23, Loss => 0.1904, Accuracy => 95.13%
Epoch: 24, Loss => 0.1837, Accuracy => 95.38%
Epoch: 25, Loss => 0.1771, Accuracy => 95.59%
Epoch: 26, Loss => 0.1709, Accuracy => 95.82%
Epoch: 27, Loss => 0.1667, Accuracy => 95.86%
Epoch: 28, Loss => 0.1600, Accuracy => 96.19%
Epoch: 29, Loss => 0.1565, Accuracy => 96.27%
Epoch: 30, Loss => 0.1511, Accuracy => 96.47%
Epoch: 31, Loss => 0.1467, Accuracy => 96.59%
Epoch: 32, Loss => 0.1422, Accuracy => 96.77%
Epoch: 33, Loss => 0.1381, Accuracy => 96.93%
Epoch: 34, Loss => 0.1350, Accuracy => 96.92%
Epoch: 35, Loss => 0.1312, Accuracy => 97.08%
Epoch: 36, Loss => 0.1278, Accuracy => 97.11%
Epoch: 37, Loss => 0.1228, Accuracy => 97.26%
Epoch: 38, Loss => 0.1205, Accuracy => 97.42%
Epoch: 39, Loss => 0.1187, Accuracy => 97.44%
Epoch: 40, Loss => 0.1140, Accuracy => 97.58%
Epoch: 41, Loss => 0.1114, Accuracy => 97.68%
Epoch: 42, Loss => 0.1079, Accuracy => 97.83%
Epoch: 43, Loss => 0.1052, Accuracy => 97.93%
Epoch: 44, Loss => 0.1027, Accuracy => 97.93%
Epoch: 45, Loss => 0.1002, Accuracy => 97.97%
Epoch: 46, Loss => 0.0980, Accuracy => 98.12%
Epoch: 47, Loss => 0.0965, Accuracy => 98.06%
Epoch: 48, Loss => 0.0941, Accuracy => 98.12%
Epoch: 49, Loss => 0.0917, Accuracy => 98.20%
Epoch: 50, Loss => 0.0889, Accuracy => 98.32%
