Epoch: 1, LR => 0.001000, Loss => 1.8201, Accuracy => 57.37%
Epoch: 2, LR => 0.000999, Loss => 0.8254, Accuracy => 76.92%
Epoch: 3, LR => 0.000996, Loss => 0.6965, Accuracy => 80.10%
Epoch: 4, LR => 0.000991, Loss => 0.6279, Accuracy => 81.77%
Epoch: 5, LR => 0.000984, Loss => 0.5790, Accuracy => 82.84%
Epoch: 6, LR => 0.000976, Loss => 0.5384, Accuracy => 84.06%
Epoch: 7, LR => 0.000965, Loss => 0.5055, Accuracy => 84.98%
Epoch: 8, LR => 0.000952, Loss => 0.4857, Accuracy => 85.48%
Epoch: 9, LR => 0.000938, Loss => 0.4640, Accuracy => 86.01%
Epoch: 10, LR => 0.000922, Loss => 0.4459, Accuracy => 86.54%
Epoch: 11, LR => 0.000905, Loss => 0.4302, Accuracy => 86.84%
Epoch: 12, LR => 0.000885, Loss => 0.4180, Accuracy => 87.34%
Epoch: 13, LR => 0.000864, Loss => 0.4010, Accuracy => 87.80%
Epoch: 14, LR => 0.000842, Loss => 0.3929, Accuracy => 88.00%
Epoch: 15, LR => 0.000819, Loss => 0.3802, Accuracy => 88.49%
Epoch: 16, LR => 0.000794, Loss => 0.3724, Accuracy => 88.46%
Epoch: 17, LR => 0.000768, Loss => 0.3642, Accuracy => 88.84%
Epoch: 18, LR => 0.000741, Loss => 0.3560, Accuracy => 88.94%
Epoch: 19, LR => 0.000713, Loss => 0.3468, Accuracy => 89.31%
Epoch: 20, LR => 0.000684, Loss => 0.3409, Accuracy => 89.49%
Epoch: 21, LR => 0.000655, Loss => 0.3349, Accuracy => 89.80%
Epoch: 22, LR => 0.000624, Loss => 0.3294, Accuracy => 89.83%
Epoch: 23, LR => 0.000594, Loss => 0.3217, Accuracy => 90.02%
Epoch: 24, LR => 0.000563, Loss => 0.3186, Accuracy => 90.23%
Epoch: 25, LR => 0.000531, Loss => 0.3127, Accuracy => 90.43%
Epoch: 26, LR => 0.000500, Loss => 0.3088, Accuracy => 90.58%
Epoch: 27, LR => 0.000469, Loss => 0.3036, Accuracy => 90.71%
Epoch: 28, LR => 0.000437, Loss => 0.2982, Accuracy => 90.97%
Epoch: 29, LR => 0.000406, Loss => 0.2963, Accuracy => 90.95%
Epoch: 30, LR => 0.000376, Loss => 0.2935, Accuracy => 91.04%
Epoch: 31, LR => 0.000345, Loss => 0.2915, Accuracy => 91.06%
Epoch: 32, LR => 0.000316, Loss => 0.2877, Accuracy => 91.15%
Epoch: 33, LR => 0.000287, Loss => 0.2825, Accuracy => 91.51%
Epoch: 34, LR => 0.000259, Loss => 0.2844, Accuracy => 91.39%
Epoch: 35, LR => 0.000232, Loss => 0.2793, Accuracy => 91.57%
Epoch: 36, LR => 0.000206, Loss => 0.2752, Accuracy => 91.67%
Epoch: 37, LR => 0.000181, Loss => 0.2737, Accuracy => 91.70%
Epoch: 38, LR => 0.000158, Loss => 0.2729, Accuracy => 91.77%
Epoch: 39, LR => 0.000136, Loss => 0.2691, Accuracy => 91.94%
Epoch: 40, LR => 0.000115, Loss => 0.2678, Accuracy => 91.94%
Epoch: 41, LR => 0.000095, Loss => 0.2668, Accuracy => 91.95%
Epoch: 42, LR => 0.000078, Loss => 0.2690, Accuracy => 91.80%
Epoch: 43, LR => 0.000062, Loss => 0.2654, Accuracy => 92.00%
Epoch: 44, LR => 0.000048, Loss => 0.2631, Accuracy => 92.04%
Epoch: 45, LR => 0.000035, Loss => 0.2636, Accuracy => 91.99%
Epoch: 46, LR => 0.000024, Loss => 0.2666, Accuracy => 91.94%
Epoch: 47, LR => 0.000016, Loss => 0.2645, Accuracy => 92.10%
Epoch: 48, LR => 0.000009, Loss => 0.2631, Accuracy => 92.14%
Epoch: 49, LR => 0.000004, Loss => 0.2632, Accuracy => 92.03%
Epoch: 50, LR => 0.000001, Loss => 0.2620, Accuracy => 92.23%
